Date,Town,Latitude,Longitude,County
2019-03-21,Plano,33.0,-96.7,Collin County
2017-09-21,Minneapolis,45.0,-93.2,Hennepin County
2017-10-07,Media,39.9,-75.4,Delaware County
2019-10-20,Minneapolis,44.9,-93.3,Hennepin County
2020-12-15,Crawfordville,30.1,-84.3,Wakulla County
2022-01-15,League City,29.5,-95.0,Galveston County
2021-08-15,Edmond,35.6,-97.4,Oklahoma County
2020-08-17,Buffalo,43.0,-78.9,Erie
2021-10-12,Howe,35.0,-94.6,Grayson County
2018-08-07,Saint Anthony,45.0,-93.2,Hennepin County
2023-07-29,Champaign,40.1,-88.3,Champaign County
2019-10-09,Knox,41.2,-79.5,Albany County
2022-09-07,Rockford,43.1,-85.5,Winnebago County
2023-07-17,Berkley,42.5,-83.2,Oakland County
2017-09-11,Oklahoma City,35.5,-97.5,Oklahoma County
2023-07-03,Kankakee,41.1,-87.8,Kankakee County
2023-08-04,Waupaca,44.3,-89.2,Waupaca County
2021-09-23,Blanchard,35.2,-97.7,McClain County
2018-06-27,Union,41.8,-85.9,Boone County
2023-11-06,Bryan,30.7,-96.3,Brazos County
2022-03-24,Austin,30.2,-97.9,Travis County
2021-07-22,Rockford,42.3,-89.1,Winnebago County
2023-09-04,Austin,30.3,-97.7,Travis County
2021-08-15,Plano,33.0,-96.7,Collin County.
2017-11-02,Sleepy Hollow,41.1,-73.9,Westchester County
2024-03-23,Plano,33.0,-96.7,Collin County.
2020-09-24,Richardson,33.0,-96.7,Dallas County
2021-11-29,North Fort Myers,26.6,-81.9,Lee County
2019-10-03,Minneapolis,44.9,-93.3,Hennepin County
2017-04-15,Tulsa,36.1,-96.0,Tulsa County
2020-07-14,Harrisville,44.6,-83.3,Weber County
2024-09-12,Vanderbilt,45.1,-84.7,Otsego County
2021-05-24,Savage,44.8,-93.4,Scott County
2019-10-21,Ennis,32.3,-96.6,Clare
2023-05-12,York,39.9,-76.7,York
2019-09-20,Lancaster,42.9,-78.7,Lancashire.
2020-03-12,Spring Hill,28.4,-82.6,Hernando County
2017-10-09,Royse City,33.0,-96.4,Rockwall County.
2019-08-17,White Twp,40.6,-79.2,Indiana County
2019-09-14,Wallace,45.2,-87.7,Shoshone
2019-07-29,Allenton,43.4,-88.4,Washington County
2021-08-24,Williamsport,41.2,-77.0,Lycoming County
2022-10-05,Wimberley,30.0,-98.1,Hays County.
2019-10-10,Kohler,43.7,-87.8,Sheboygan County
2019-09-18,Bayville,40.9,-73.5,"Bayville is not a city, but there are at least two communities named Bayville in the United States. One is in Nassau County, New York, and another is in Ocean County, New Jersey."
2018-10-08,Kennedy,42.2,-79.1,Atascosa County
2019-10-13,Cibolo,29.6,-98.2,Guadalupe County
2020-09-11,Wylie,33.0,-96.5,Collin County
2020-11-07,Urbana,40.1,-88.1,Champaign
2018-08-16,Hamburg,42.7,-78.8,Hamburg is a city-state and not part of any other county.
2021-10-19,Cherokee,31.0,-98.7,Swain County
2023-06-10,Arlington,32.8,-97.1,Tarrant County
2024-09-26,St Paul,44.9,-93.1,Ramsey County.
2018-08-27,Philadelphia,40.0,-75.0,Philadelphia County
2018-06-13,Palatine,42.1,-88.0,Cook County
2021-12-22,Corpus Christi,27.8,-97.4,Nueces County
2018-09-27,Lansdale,40.2,-75.3,Montgomery County
2022-04-08,Fort Worth,32.9,-97.3,Tarrant County
2019-09-17,Wynnewood,40.0,-75.3,Garvin County
2023-09-28,Tulsa,36.1,-96.0,Tulsa County
2020-09-29,Antioch,42.5,-88.1,Contra Costa County
2024-09-30,Wauwatosa,43.1,-88.0,Milwaukee County
2018-08-26,Buffalo,45.2,-93.9,Erie
2022-08-05,Eaton Rapids,42.6,-84.7,Eaton County
2021-12-12,Naples,26.3,-81.8,Collier County
2017-08-03,Big Rapids,43.7,-85.6,Mecosta County
2017-10-08,San Angelo,31.6,-100.5,Tom Green County
2018-09-15,Ann Arbor,42.3,-83.8,Washtenaw County
2021-08-15,Lake George,43.4,-73.7,Warren County
2021-12-21,Wellington,26.7,-80.2,Palm Beach County
2021-08-26,Olmstedville,43.9,-74.0,Essex County
2021-03-29,Dublin,32.1,-98.4,County Dublin
2018-10-05,Carbondale,37.7,-89.2,Jackson County
2023-07-13,Mt Pleasant,33.3,-95.1,Isabella County
2021-09-25,Warwick,41.3,-74.3,Kent
2021-01-24,Pompano Beach,26.3,-80.2,Broward County
2020-03-19,Comanche,34.3,-98.0,Comanche County
2017-03-25,Comfort,30.0,-98.9,Kendall County
2022-07-29,Waverly,39.6,-90.0,Bremer County
2021-09-14,Choctaw,35.5,-97.2,Oklahoma County
2018-09-23,Babylon,40.6,-73.3,Suffolk County
2023-09-21,State College,40.8,-77.9,Centre County
2023-12-26,Austwell,28.3,-96.8,Refugio County
2024-10-03,Tulsa,36.2,-95.9,Tulsa County
2020-08-12,Southgate,42.2,-83.2,Los Angeles County
2019-10-08,Oklahoma City,35.5,-97.5,Oklahoma County
2021-05-04,Jacksonville,30.2,-81.6,Duval County.
2019-08-24,Enid,36.4,-97.9,Garfield County
2017-09-02,Evanston,42.0,-87.7,Cook County
2021-09-18,Auburn,42.9,-76.6,"Auburn is located in several counties across the United States. Can you please specify which Auburn you are referring to? For example, Auburn in Alabama is in Lee County, Auburn in California is in Placer County, and Auburn in Washington is in King County."
2021-11-07,College Station,30.6,-96.3,Brazos County
2017-10-14,Mount Pleasant,33.2,-95.0,Charleston County
2021-08-27,Saint Joseph,42.1,-86.5,Buchanan County
2023-08-19,St Anthony,45.0,-93.2,Hennepin County
2020-10-06,Marble Falls,30.6,-98.4,Burnet County
2022-09-24,Glen Carbon,38.7,-90.0,Madison County
2019-09-25,Fort Plain,42.9,-74.6,Montgomery County
2022-08-04,New York,40.6,-74.1,New York County
2023-09-30,Carrollton,33.0,-96.9,Carroll County
2021-07-26,Fleetwood,40.4,-75.8,Lancashire
2019-07-05,Broken Arrow,36.0,-95.8,Tulsa County
2018-08-21,Colton,44.6,-74.9,San Bernardino County
2017-01-23,Seabrook,29.6,-95.0,Harris County
2019-07-06,Chicago,41.9,-87.6,Cook County
2019-10-19,Georgetown,30.6,-97.7,Williamson County.
2022-08-18,St Anthony,45.0,-93.2,Hennepin County.
2018-10-28,Tallahassee,30.4,-84.3,Leon County
2024-05-09,Pittsburg,37.8,-88.8,Crawford County
2017-07-01,Shirland,42.4,-89.2,Winnebago County
2022-07-29,Midland,43.6,-84.2,Midland County.
2021-09-25,Tuttle,35.3,-97.8,Grady County
2021-03-07,Bolivar Peninsula,29.5,-94.3,Galveston County
2022-09-13,Yardley,40.2,-74.8,Bucks County
2024-08-08,Ann Arbor,42.3,-83.7,Washtenaw County
2018-08-23,Hempstead,30.2,-96.1,Nassau County
2022-10-01,Calera,33.9,-96.4,Shelby County
2024-09-01,Clitherall,46.2,-95.6,Otter Tail County
2022-09-21,Lowell,42.9,-85.4,Middlesex County
2024-08-06,Laguna Vista,26.1,-97.3,Cameron County
2017-08-18,Rhinebeck,41.9,-73.9,Dutchess County
2022-01-15,St. Petersburg,27.8,-82.7,Pinellas County
2018-07-08,Pittsford,43.1,-77.5,Monroe County
2022-08-21,Kutztown,40.5,-75.8,Berks County
2021-11-25,Port Isabel,26.1,-97.3,Cameron County
2022-08-02,Jamestown,42.1,-79.2,Stutsman County
2023-08-04,Appleton,44.3,-88.4,Outagamie County
2017-04-03,Arlington,32.7,-97.2,Tarrant County
2023-09-10,Sterling Heights,42.6,-83.1,Macomb County
2021-12-01,Palm Beach Gardens,26.8,-80.1,Palm Beach County
2022-08-06,Burlington,42.6,-88.3,Chittenden County
2024-08-26,Madison,43.1,-89.5,Dane County
2023-09-19,Flower Mound,33.0,-97.1,Denton County.
2023-11-05,Bryan,30.8,-96.3,Brazos County.
2022-08-04,Bay City,43.7,-83.9,Bay City can refer to different locations. Could you specify the state or context?
2017-11-15,Kerrville,30.0,-99.1,Kerr County
2021-08-07,Henryetta,35.5,-95.8,Okmulgee County
2021-12-19,Lady Lake,28.9,-81.9,Lake County
2018-08-18,Landisburg,40.3,-77.3,Perry County
2020-08-12,Omro,44.1,-88.8,Winnebago County
2022-03-20,Port O'Connor,28.5,-96.4,Calhoun County
2020-09-26,Dallas,32.8,-96.8,Dallas County
2023-05-21,Evanston,42.1,-87.7,Cook County
2021-09-13,Amarillo,35.2,-101.9,Potter County
2017-06-06,Minneapolis,44.9,-93.3,Hennepin County
2023-10-27,Destin,30.4,-86.4,Okaloosa County
2021-09-21,,32.2,-101.5,Nan
2021-08-19,Matamoras,41.4,-74.7,Orange County
2021-08-04,Chelsea,36.5,-95.4,Suffolk.
2022-10-17,Hunt,30.0,-99.4,Kerr County
2017-10-14,San Antonio,29.5,-98.8,Bexar County
2024-09-22,Cook,47.9,-92.7,St. Louis County
2022-08-17,Westbrook,44.0,-95.4,Cumberland County
2023-08-28,Tower City,40.6,-76.6,Stark County
2017-09-20,Plano,33.0,-96.7,Collin County
2023-03-11,Alpine,30.3,-103.6,Brewster County
2024-08-14,Ann Arbor,42.3,-83.8,Washtenaw County.
2024-09-17,Seguin,29.6,-98.0,Guadalupe County
2020-03-14,Houston,30.0,-95.6,Harris County.
2020-09-13,Mequon,43.2,-88.0,Ozaukee County
2017-10-03,Grass Lake Charter Township,42.3,-84.2,Jackson County
2020-09-13,Edmond,35.7,-97.5,Oklahoma County
2020-10-16,Miami,36.9,-94.8,Miami-Dade County
2024-07-21,Fulton,43.4,-76.4,Callaway County
2018-07-13,Cortland,41.9,-88.7,Cortland County
2020-08-30,Springfield,39.8,-89.7,There are multiple cities named Springfield in different states. Can you specify which state's Springfield you are referring to?
2022-07-23,Madison,43.1,-89.5,Dane County.
2021-12-24,Wellington,26.7,-80.2,Wellington City.
2018-09-08,Sheboygan Falls,43.7,-87.8,Sheboygan County
2021-12-20,Mansfield,32.6,-97.1,Richland County
2018-08-11,Tulsa,36.0,-95.9,Tulsa County
2021-03-04,Boerne,29.8,-98.7,Kendall County
2024-09-06,St Paul,44.9,-93.1,Ramsey County
2022-08-09,Indian Lake,43.9,-74.4,Logan County
2022-09-15,Minneapolis,45.0,-93.2,Hennepin
2017-10-18,North Richland Hills,32.8,-97.2,Tarrant County
2021-05-23,Saint Cloud,45.5,-94.1,Stearns County
2021-09-29,Tulsa,36.0,-96.1,Tulsa County
2021-08-28,Coleman,43.8,-84.6,Sumter County
2021-12-14,New Ringgold,40.6,-76.0,Schuylkill County
2021-12-14,Port O Connor,28.5,-96.4,Calhoun County
2023-09-17,Detroit,42.4,-83.3,Wayne
2023-09-30,Grand Rapids,42.9,-85.6,Kent County
2021-12-10,Neptune Beach,30.3,-81.4,Duval County
2017-07-20,Buffalo,43.0,-78.8,Erie County
2021-12-26,Houston,29.8,-95.4,Harris County
2017-04-12,Broken Arrow,36.0,-95.8,Tulsa County
2018-03-26,Mansfield,32.6,-97.1,Richland County.
2017-08-15,Houston,30.0,-95.6,Harris County
2020-09-29,Macungie,40.5,-75.6,Lehigh
2021-08-31,Seguin,29.5,-98.0,Guadalupe County
2023-08-01,Schenectady,42.8,-73.9,Schenectady County
2017-04-02,Keller,32.9,-97.2,Tarrant County
2018-02-09,Tavernier,25.0,-80.6,Monroe County
2017-05-08,St. Augustine,29.9,-81.3,St. Johns County
2019-10-05,Champaign,40.1,-88.3,Champaign County
2019-09-30,Chicago,41.9,-87.7,Cook County
2021-10-17,Sun Prairie,43.1,-89.3,Dane County
2021-08-03,Batavia,41.8,-88.3,Genesee County
2021-06-14,Chelsea,36.5,-95.4,Suffolk
2021-07-07,Renovo,41.4,-77.7,Clinton County
2019-09-21,Endicott,42.1,-76.0,Broome County
2020-09-13,Willowbrook,41.8,-87.9,Los Angeles County
2023-07-18,Birmingham,42.5,-83.2,West Midlands
2017-09-05,Owasso,36.3,-95.9,Tulsa County
2021-07-27,Milton,41.7,-74.0,Santa Rosa County
2023-08-16,Kasson,44.0,-92.7,Dodge County
2022-09-29,Tallahassee,30.4,-84.2,Leon County
2023-08-04,Chicago,42.0,-87.8,Cook County
2020-09-21,Midland,32.0,-102.2,Midland County
2024-09-12,Waverly,39.6,-90.0,Bremer County
2021-10-05,Madison,43.1,-89.3,Dane County
2017-06-04,Waukegan,42.4,-87.9,Lake County
2018-07-28,Woodbury,41.4,-74.1,Washington County
2019-08-15,Saint Paul,44.9,-93.1,Ramsey County
2020-09-02,Tulsa,36.1,-95.9,Tulsa County
2021-08-16,Oklahoma City,35.5,-97.6,Oklahoma County
2019-08-16,Monmouth,41.0,-90.6,Monmouthshire
2024-09-01,Sylvan Beach,43.2,-75.7,Oneida County
2023-08-15,New York,40.7,-73.9,New York County
2021-08-12,Carrollton,33.0,-96.9,Carrollton is in Carroll County.
2018-10-30,Boerne,29.8,-98.7,Kendall County
2019-10-15,Monroeville,40.4,-79.8,Monroe County.
2021-10-06,Edmond,35.6,-97.5,Oklahoma County
2021-08-31,San Antonio,29.4,-98.5,Bexar County
2021-03-24,Montgomery,30.4,-95.8,Montgomery County
2020-07-14,South Milwaukee,42.9,-87.9,Milwaukee County
2020-08-19,Owasso,36.3,-95.8,Rogers County
2023-03-01,Edgewater,28.9,-80.9,Volusia County
2021-01-14,Fort Myers,26.5,-81.8,Lee County
2019-10-18,Nescopeck,41.1,-76.2,Luzerne County
2018-10-31,West Lake Hills,30.3,-97.8,Travis County
2017-11-24,Houston,29.8,-95.6,Harris County
2021-03-16,Estero,26.4,-81.8,Lee County
2023-01-19,West Palm Beach,26.8,-80.0,Palm Beach County
2022-09-13,Saginaw,43.4,-84.0,Saginaw County
2020-02-20,North Fort Myers,26.7,-81.9,Lee County
2019-10-07,Edmond,35.7,-97.5,Oklahoma County
2021-12-28,Houston,29.7,-95.4,Harris County
2020-06-08,Minneapolis,44.9,-93.2,Hennepin County
2021-11-04,Blanco,30.0,-98.3,Blanco County
2021-08-22,Denton,33.2,-97.1,Denton County
2022-04-06,Houston,29.8,-95.5,Harris County
2017-11-18,Mount Pleasant,33.2,-95.0,Charleston County
2022-01-17,Melbourne,28.1,-80.6,Brevard County
2018-09-16,Stigler,35.2,-95.5,Haskell County
2022-07-26,Arden Hills,45.0,-93.2,Ramsey County
2018-08-30,Oneonta,42.4,-75.0,Otsego County
2024-09-09,Montgomery,30.4,-95.8,Montgomery County
2021-09-22,Edmond,35.7,-97.5,Oklahoma County.
2021-07-28,Allegan,42.5,-85.9,Allegan County
2020-10-14,Douglassville,33.2,-94.4,Berks County
2021-09-04,Minneapolis,45.0,-93.2,Hennepin County
2019-10-24,Baldwinsville,43.2,-76.4,Onondaga County
2018-07-24,Andover,45.2,-93.4,Hampshire
2022-07-19,Fishkill,41.5,-74.0,Dutchess
2021-10-08,Baraboo,43.5,-89.8,Sauk County
2018-11-15,Willis,30.4,-95.6,Montgomery County
2021-10-12,Glenpool,35.9,-96.0,Tulsa County
2021-06-11,Milwaukee,43.1,-88.0,Milwaukee County
2018-07-16,Shirley,40.8,-72.9,Suffolk County
2021-08-16,Georgetown,30.6,-97.7,Williamson County
2017-09-15,West Bend,43.4,-88.2,Washington County
2024-09-17,Hoosick Falls,42.9,-73.3,Rensselaer County.
2019-10-15,West Chicago,41.9,-88.2,DuPage County
2021-12-24,Houston,29.8,-95.4,Harris County.
2019-08-16,Itasca,42.0,-88.0,DuPage County.
2019-10-15,Wynnewood,40.0,-75.3,Montgomery County
2018-09-24,North Tonawanda,43.0,-78.9,Niagara County
2021-07-01,Minneapolis,45.0,-93.2,Hennepin
2024-09-27,York,39.9,-76.7,York County
2021-04-20,San Antonio,29.5,-98.4,Bexar
2022-08-01,Lino Lakes,45.1,-93.1,Anoka County
2023-07-14,Spring Green,43.2,-90.1,Sauk County
2019-08-18,Barnesville,46.7,-96.4,Lamar County
2022-10-04,Tulsa,36.1,-95.9,Tulsa County
2023-09-03,Yonkers,40.9,-73.9,Westchester County
2021-09-25,Syracuse,43.0,-76.2,Onondaga County
2020-08-01,El Reno,35.5,-98.0,Canadian County
2021-07-20,Broken Arrow,36.1,-95.8,Tulsa County
2021-06-09,Minneapolis,45.2,-93.3,Hennepin County
2018-10-14,West Lake Hills,30.3,-97.8,Travis County
2024-08-04,Paynesville,46.5,-89.1,Stearns County
2018-08-23,Flossmoor,41.5,-87.7,Cook County
2021-11-23,Pensacola,30.4,-87.2,Escambia County
2019-10-13,Dallas,32.8,-96.8,Dallas County
2023-08-06,Inverness,42.1,-88.1,Highland
2023-08-04,Winnetka,42.1,-87.8,Cook County
2020-08-18,Harrisville,44.6,-83.3,Weber County.
2019-10-13,Burleson,32.5,-97.3,Johnson County
2020-05-30,Allenton,43.4,-88.4,Washington County
2017-04-01,Jacksonville,30.4,-81.5,Duval County
2022-08-07,Hinsdale,41.8,-87.9,DuPage County
2022-03-24,Houston,29.9,-95.4,Harris County
2019-07-21,Rockford,45.1,-93.7,Winnebago County
2018-10-18,Little Elm,33.2,-96.9,Denton County
2020-10-07,Pflugerville,30.4,-97.6,Travis County
2019-09-02,Granbury,32.4,-97.7,Hood County
2019-06-27,Evanston,42.0,-87.7,Cook County
2022-07-29,Germantown,43.2,-88.1,Montgomery County
2018-07-10,Houston,30.0,-95.6,Harris County
2017-07-09,York,39.9,-76.7,North Yorkshire
2019-11-01,Austin,30.3,-97.7,Travis County
2023-07-29,St Paul,44.9,-93.2,Ramsey County
2019-11-01,Howe,35.0,-94.6,Grayson County
2021-05-08,Georgetown,30.6,-97.7,Williamson County.
2023-09-11,Rockford,42.3,-89.0,Winnebago County
2019-08-18,Wyncote,40.1,-75.1,Montgomery County
2018-08-27,Corpus Christi,27.8,-97.4,Nueces County
2017-10-19,Whitesboro,43.1,-75.3,Oneida County
2022-01-23,Lady Lake,28.9,-81.9,Lake County
2022-09-22,Plainfield,41.7,-88.2,Union County
2021-08-27,Broken Arrow,36.1,-95.7,Tulsa County
2017-10-06,Boerne,29.8,-98.6,Kendall County
2021-06-22,Rockford,42.3,-89.0,Winnebago County
2021-08-01,Downers Grove,41.8,-88.0,DuPage
2022-05-23,Wellington,26.7,-80.3,Wellington City
2019-11-05,Brenham,30.2,-96.4,Washington County
2020-05-19,Destin,30.4,-86.4,Okaloosa County
2022-07-30,New London,44.3,-88.8,New London County
2021-10-02,Oklahoma City,35.6,-97.6,Oklahoma County
2023-08-06,Evansville,42.8,-89.3,Vanderburgh County.
2019-08-11,Town of Southold,41.0,-72.4,Suffolk County
2022-10-14,Media,39.9,-75.4,Delaware County
2021-12-28,West Palm Beach,26.8,-80.1,Palm Beach County
2022-09-11,Thief River Falls,48.1,-96.4,Pennington County
2019-08-22,Sauk City,43.3,-89.8,Sauk County
2021-06-19,Deforest,43.2,-89.3,Dane County
2023-11-14,San Antonio,29.5,-98.5,Bexar County
2019-03-18,Austin,30.4,-97.8,Travis County
2020-08-19,Edmond,35.6,-97.5,Oklahoma County
2023-02-28,Sebring,27.5,-81.4,Highlands County
2018-09-12,Saint Paul,45.0,-93.1,Ramsey County
2023-09-09,Tulsa,36.1,-95.9,Tulsa County
2021-07-29,Round Rock,30.5,-97.7,Williamson County
2024-09-21,Otsego,45.3,-93.6,Wright County
2023-10-19,Alvin,29.4,-95.2,Brazoria County
2019-07-23,Saint Charles,43.3,-84.1,St. Charles County
2021-06-01,South Milwaukee,42.9,-87.9,Milwaukee County
2021-09-27,Bourbonnais,41.2,-87.9,Kankakee County
2018-09-01,Minneapolis,44.9,-93.3,Hennepin County
2021-07-24,Kalamazoo,42.3,-85.6,Kalamazoo County
2019-09-07,Lansing,42.7,-84.6,Ingham
2023-10-04,Versailles,39.9,-90.7,Woodford County
2021-01-02,Coral Springs,26.3,-80.3,Broward County
2022-07-22,Hackensack,47.0,-94.4,Bergen County
2017-12-22,Crawfordville,30.2,-84.4,Wakulla County
2021-12-01,Dallas,32.9,-96.8,Dallas County
2021-10-14,Sterling Heights,42.6,-83.0,Macomb
2024-09-19,Burnsville,44.8,-93.3,Dakota County
2022-11-06,Lovelady,31.1,-95.5,Houston County
2019-06-12,Saint Paul,45.1,-93.2,Ramsey County
2021-11-29,St. Petersburg,27.7,-82.7,Pinellas County
2020-03-23,Austin,30.3,-97.8,Travis County
2020-03-10,Fort Myers,26.5,-81.8,Lee County
2021-03-15,South Padre Island,26.1,-97.2,Cameron County.
2018-04-10,Fort Hood,31.3,-97.7,Bell County
2018-09-11,Brookfield,43.0,-88.2,Cook County
2019-07-26,Big Rapids Twp,43.7,-85.6,Mecosta County
2019-07-01,Allenton,43.4,-88.4,Washington County.
2021-10-11,Dallas,32.8,-96.8,Dallas County
2019-03-13,San Marcos,29.9,-97.9,Hays County
2021-04-08,Deland,29.0,-81.3,Volusia County
2018-09-26,Johnson Creek,43.1,-88.8,Jefferson County
2023-09-25,Plano,33.0,-96.7,Collin County.
2021-10-26,Plano,33.0,-96.7,Collin County
2017-09-07,Kyle,30.0,-97.9,Hays
2021-09-27,New Cumberland,40.2,-76.9,Cumberland County
2021-10-10,Abilene,32.4,-99.7,Taylor County
2020-10-19,Austin,30.3,-97.8,Travis County
2023-06-01,Porterfield,45.2,-87.8,Marinette County
2020-08-18,Eau Claire,41.1,-79.8,Eau Claire County
2022-04-07,Groesbeck,31.5,-96.6,Limestone County
2017-09-28,Pond Creek,36.7,-97.8,Grant County
2017-09-26,Midland,32.0,-102.1,Midland County
2019-08-24,Harrisville,41.2,-80.0,Wetzel County
2024-05-08,Brookfield,43.1,-88.1,Cook County
2020-09-07,Bloomsburg,41.0,-76.4,Columbia County
2024-09-30,Glen Rose,32.1,-97.9,Somervell County
2020-04-05,Fredericksburg,30.5,-98.8,Spotsylvania County
2018-08-14,Greenport,41.1,-72.4,Suffolk County
2022-08-10,Ann Arbor,42.3,-83.7,Washtenaw County
2024-09-04,Muskegon,43.2,-86.3,Muskegon County.
2022-10-03,Edmond,35.7,-97.5,Oklahoma County
2021-08-01,Edmond,35.7,-97.6,Oklahoma County
2017-08-19,Waconia,44.8,-93.8,Carver County
2022-07-30,Woodridge,41.7,-88.1,DuPage County
2023-11-07,Fulshear,29.6,-95.9,Fort Bend County
2021-04-20,Pawnee,36.3,-96.8,Pawnee County
2020-03-18,Terrell,32.8,-96.3,Kaufman County.
2021-10-13,Urbana,40.1,-88.2,Champaign County
2021-05-06,Cedar Creek,30.1,-97.5,Bastrop County
2020-12-07,South Padre Island,26.1,-97.2,Cameron County
2020-11-09,Arlington,32.7,-97.2,Tarrant County
2021-12-04,Plano,33.0,-96.7,Collin County
2024-09-21,Port Ewen,41.9,-74.0,Ulster County
2020-09-03,Mannsville,43.7,-76.2,Johnston County
2022-07-12,Inlet,43.8,-74.8,Hamilton
2024-08-22,Allenton,42.9,-82.9,Washington County
2017-11-15,Rockport,28.2,-97.0,Aransas County
2018-09-19,Enid,36.4,-97.9,Garfield County
