Date,Town,Latitude,Longitude,County
2017-10-03,Enid,36.4,-97.9,Garfield County
2021-11-06,Mcveytown,40.5,-77.8,Mifflin County
2021-10-26,Midlothian,32.5,-97.0,Ellis County.
2020-10-08,Noble,35.1,-97.4,Cleveland County
2018-10-26,Little Elm,33.2,-96.9,Denton County
2023-08-22,Minneapolis,45.0,-93.2,Hennepin County
2022-09-19,Mcveytown,40.5,-77.8,Mifflin County
2022-05-06,Oakland,29.6,-96.8,Alameda
2021-12-08,San Antonio,29.6,-98.5,Bexar County
2024-07-07,Wauwatosa,43.1,-88.0,Milwaukee County
2022-11-15,Media,39.9,-75.4,Delaware County
2021-12-24,Vero Beach,27.6,-80.4,Indian River County
2022-09-10,Chicago,42.0,-87.7,Cook County
2019-08-29,Minneapolis,44.9,-93.3,Hennepin County
2020-03-15,Crockett,31.3,-95.4,Houston County
2022-01-10,Austin,30.4,-97.7,Travis County
2020-10-09,Harrisville,44.6,-83.3,Providence County
2017-10-12,The Colony,33.1,-96.9,Denton County
2017-09-15,San Antonio,29.4,-98.5,Bexar County
2021-09-15,Odessa,31.9,-102.3,Ector County
2019-10-15,Austin,30.3,-97.8,Travis County
2023-12-01,Hutto,30.5,-97.6,Williamson
2017-09-10,Lawton,34.6,-98.5,Comanche County
2019-09-10,Saint Paul,45.0,-93.2,Ramsey County
2018-09-10,Andover,45.2,-93.3,Hampshire
2017-07-12,Indian Lake,43.8,-74.3,Logan County
2018-04-29,Edmond,35.7,-97.5,Oklahoma County
2019-06-07,Big Rapids,43.7,-85.6,Mecosta County
2021-09-25,Kalamazoo,42.3,-85.6,Kalamazoo County
2019-09-04,Minneapolis,45.1,-93.2,Hennepin County
2021-09-30,Schwenksville,40.2,-75.5,Montgomery County
2018-09-15,Scranton,41.4,-75.7,Lackawanna County
2020-08-26,New Cumberland,40.2,-76.9,Hancock County
2020-10-21,Mechanicsburg,40.2,-77.0,Cumberland County
2023-05-02,Calera,33.9,-96.4,Shelby County
2021-08-26,Deerfield,43.1,-89.1,Lake County
2024-09-03,Ada,34.8,-96.7,Pontotoc County
2022-08-22,Pinconning,43.9,-84.0,Bay County
2023-08-03,Monroe,41.3,-74.2,Union County
2020-10-24,Austin,30.3,-97.8,Travis
2021-10-08,Fairfield,39.7,-77.4,Fairfield is in Solano County.
2019-08-10,Saint Paul,44.9,-93.1,Ramsey County
2019-09-15,Grosse Pointe,42.4,-82.9,Wayne County
2021-07-22,Saint Paul,45.1,-93.2,Ramsey County
2023-10-04,Chandler,32.3,-95.5,Maricopa County
2024-09-19,Broken Arrow,36.1,-95.7,Tulsa County
2018-10-29,Willis,30.4,-95.6,Montgomery County
2020-08-18,Wynnewood,40.0,-75.3,Montgomery County
2018-09-04,Madison,43.0,-89.4,Dane County
2023-09-09,Comstock Twp,42.3,-85.5,Kalamazoo County
2021-04-24,Edmond,35.7,-97.5,Oklahoma County
2022-09-03,Broken Arrow,36.0,-95.8,Tulsa County
2019-10-08,Mckinney,33.2,-96.6,Collin County
2017-10-13,DeLand,29.0,-81.3,Volusia
2017-10-21,Tulsa,36.1,-96.0,Tulsa County
2021-12-20,Fort Worth,32.8,-97.2,Tarrant County
2023-08-16,Hudson,45.0,-92.7,Columbia County
2024-09-09,Norman,35.2,-97.4,Cleveland County.
2017-06-09,Pequot Lakes,46.7,-94.2,Crow Wing County
2020-08-29,Marble Falls,30.6,-98.3,Burnet County
2019-10-08,Oklahoma City,35.5,-97.6,Oklahoma County
2024-07-28,Suttons Bay,45.0,-85.7,Leelanau County
2022-10-06,Halifax,40.4,-77.0,West Yorkshire
2019-08-28,Minneapolis,44.9,-93.3,Hennepin County
2022-10-04,De Kalb,33.5,-94.6,Buchanan County
2020-09-16,Wynnewood,40.0,-75.3,Montgomery County
2020-09-16,Saugatuck,42.7,-86.2,Allegan County
2019-09-11,Chestertown,43.6,-73.8,Kent County.
2019-09-18,Lake Park,46.7,-96.1,Palm Beach County
2021-09-09,Dallas,32.9,-96.7,Dallas County
2017-07-04,Westbury,40.7,-73.6,Nassau County
2018-10-27,Abilene,32.4,-99.7,Taylor County
2019-09-15,Dryden,42.9,-83.1,Noble County
2019-11-10,Ocala,29.2,-82.1,Marion County
2018-10-08,East Meadow,40.7,-73.6,Nassau County
2023-08-23,Oklahoma City,35.6,-97.5,Oklahoma County
2021-10-29,Monticello,30.4,-84.0,White County
2017-10-12,Live Oak,29.6,-98.3,Suwannee County
2022-08-13,Gainesville,29.7,-82.3,Alachua County
2021-12-01,Houston,29.9,-95.6,Harris County
2021-09-14,Marble Falls,30.5,-98.2,Burnet
2017-08-27,Madison,43.1,-89.3,Dane County
2019-08-17,El Paso,31.9,-106.6,El Paso County
2024-08-18,Odessa,31.9,-102.3,Ector County
2018-10-10,Warren,41.8,-79.1,Trumbull County
2019-08-09,Madison,43.1,-89.3,Dane County
2020-07-22,Mabel,43.5,-91.9,Fillmore County
2020-12-13,Clearwater,28.0,-82.7,Pinellas County
2017-07-09,Black Wolf,44.0,-88.4,Winnebago County
2024-07-09,Minneapolis,45.0,-93.2,Hennepin
2023-10-01,Edmond,35.7,-97.5,Oklahoma County
2020-09-04,Saint Paul,45.0,-92.9,Ramsey County
2022-08-31,Adams,43.6,-92.7,"There are several cities named Adams in the United States, each located in different counties. Could you please specify the state for the city 'Adams' you are referring to?"
2023-07-10,New Auburn,45.2,-91.4,Chippewa County
2017-09-21,Chicago,42.0,-87.7,Cook County
2022-01-01,Melbourne,28.1,-80.6,Brevard County
2017-10-04,Sleepy Hollow,41.1,-73.9,Westchester County
2023-10-01,Eau Claire,44.8,-91.6,Eau Claire County
2017-08-20,Rockford,42.2,-89.0,Winnebago County.
2024-09-16,Edmond,35.7,-97.4,Oklahoma County
2020-09-26,Richardson,32.9,-96.7,Dallas County
2023-09-13,New York,40.6,-73.9,New York County
2023-08-14,Freeland,41.0,-75.9,Island County
2021-08-01,Bloomsburg,41.0,-76.4,Columbia County
2022-09-29,Merrimac,43.4,-89.6,Saunders County
2023-08-03,Fort Gratiot Twp,43.1,-82.5,St. Clair County
2021-08-06,Bemidji,47.5,-94.9,Beltrami County
2024-09-18,Calera,33.9,-96.4,Shelby County
2021-09-14,Austin,30.5,-97.7,Travis County
2022-09-29,Norman,35.3,-97.4,Cleveland
2021-08-16,Rapho Twp,40.1,-76.4,Lancaster County.
2020-07-24,Mequon,43.2,-87.9,Ozaukee County
2021-07-29,Rockford,42.3,-89.0,Winnebago County.
2017-11-27,Port Orange,29.1,-81.0,Volusia County
2022-03-17,Clearwater,28.0,-82.7,Pinellas County
2021-12-01,Dallas,32.9,-96.8,Dallas County
2019-03-14,Bradenton,27.5,-82.6,Manatee County
2019-09-26,Spring Green,43.2,-90.1,Sauk County.
2020-08-21,Kerrville,30.0,-99.1,Kerr County
2021-07-12,Mannford,36.1,-96.4,Creek County
2023-08-14,Norman,35.2,-97.4,Cleveland County
2017-10-18,Dallas,32.9,-96.8,Dallas County
2020-08-21,Tulsa,36.1,-95.9,Tulsa County.
2018-08-17,Minneapolis,45.0,-93.2,Hennepin County
2020-08-22,Glenview,42.1,-87.8,Cook County
2017-11-17,Austin,30.2,-97.8,Travis County
2017-09-11,Chaska,44.9,-93.6,Carver County
2022-04-02,College Station,30.6,-96.3,Brazos County
2020-09-20,Jamestown,42.1,-79.2,Chautauqua County
2023-03-17,Fernandina Beach,30.7,-81.4,Nassau County
2020-08-29,Bixby,35.9,-95.9,Tulsa County
2022-03-21,Southlake,32.9,-97.1,Tarrant County.
2021-12-14,Pensacola,30.4,-87.4,Escambia County
2018-07-08,Houston,30.0,-95.6,Harris County.
2021-03-20,Montgomery,30.4,-95.8,Montgomery County
2022-09-01,Kress,34.4,-101.8,Swisher County
2020-09-29,Keller,32.9,-97.3,Tarrant County.
2019-09-25,Neenah,44.2,-88.5,Winnebago County
2021-12-13,Merritt Island,28.4,-80.7,Brevard County
2018-10-10,Melrose,42.8,-73.6,Suffolk County.
2021-08-18,Milwaukee,43.1,-87.9,Milwaukee County
2022-10-03,Lexington,35.0,-97.3,Fayette County
2023-08-04,Chicago,42.0,-87.7,Cook County
2022-08-03,Soudan,47.8,-92.2,St. Louis County
2023-07-10,New Lenox,41.5,-87.9,Will County
2020-09-29,Stroud,35.8,-96.7,Gloucestershire
2019-08-13,Wilkes Barre,41.2,-75.8,Luzerne County
2022-09-20,Wausaukee,45.4,-87.9,Marinette County
2017-06-30,Frazer,40.6,-79.8,McCone County
2018-06-13,Dixon,41.8,-89.5,Lee County
2023-08-22,Troy,42.6,-83.2,Rensselaer County
2022-02-17,St Pete Beach,27.7,-82.7,Pinellas County
2017-09-09,Rhinebeck,41.9,-73.9,Dutchess County
2018-05-26,Fremont,44.3,-88.7,Alameda County
2022-09-13,Hopkins,44.9,-93.4,Hennepin County
2020-08-30,Tuttle,35.3,-97.7,Grady County.
2022-08-05,League City,29.5,-95.1,Galveston County
2023-05-16,Waconia,44.8,-93.8,Carver County
2017-09-27,Ponte Vedra Beach,30.1,-81.3,St. Johns County
2022-09-04,Johnson City,42.1,-76.0,Washington County
2017-10-14,The Colony,33.1,-96.9,Denton County
2021-03-17,Carrollton,33.0,-96.9,Carroll County
2020-04-23,Marlow,34.6,-98.0,Buckinghamshire
2018-08-06,Enid,36.4,-97.9,Garfield County
2023-03-12,Driftwood,30.1,-98.0,Hays County.
2020-08-26,Syracuse,43.0,-76.2,Onondaga County
2021-03-17,Arcadia,27.2,-81.9,Los Angeles County.
2021-07-22,Kalamazoo,42.3,-85.6,Kalamazoo County
2019-03-07,Corpus Christi,27.8,-97.4,Nueces County
2022-01-09,Fort Myers,26.5,-81.9,Lee County
2021-08-28,Georgetown,30.6,-97.7,Williamson County
2017-07-01,Sarasota,27.3,-82.5,Sarasota County
2023-07-30,Marseilles,41.4,-88.8,Bouches-du-Rhône
2020-03-11,Kingwood,30.0,-95.2,Preston County
2019-10-04,Middle Grove,43.1,-74.0,Saratoga County
2023-09-26,Edmond,35.7,-97.5,Oklahoma County
2017-08-31,Harrisville,44.6,-83.3,Weber County
2021-11-27,New Ringgold,40.6,-76.0,Schuylkill County
2021-10-05,Mansfield,32.6,-97.1,Richland County
2019-11-25,Saint Augustine,29.8,-81.3,St. Johns County
2021-03-29,Houston,29.6,-95.1,Harris County.
2020-04-19,Georgetown,30.6,-97.8,Williamson County.
2020-11-09,Richardson,32.9,-96.7,Dallas County
2022-10-03,Tulsa,36.1,-95.9,Tulsa County
2021-09-15,Irving,32.8,-97.0,Dallas County
2022-10-07,Bradenton,27.5,-82.7,Manatee County
2017-09-11,Portage,43.5,-89.5,Kalamazoo County.
2018-09-06,New York,40.9,-73.9,New York County
2023-10-17,Calera,33.9,-96.4,Shelby County
2021-08-01,Oak Lawn,41.7,-87.8,Cook County
2020-06-17,Allenton,43.4,-88.4,Washington County
2019-10-23,New York,40.8,-74.0,New York County
2023-08-15,Frankenmuth,43.3,-83.7,Saginaw County
2018-09-24,Stillwater,36.1,-97.0,Payne County
2018-10-14,Carrollton,33.0,-96.9,Carroll County
2018-08-10,Tulsa,36.1,-96.0,Tulsa County
2021-12-02,Gainesville,29.7,-82.4,Alachua County
2021-12-02,Mcveytown,40.5,-77.8,Mifflin County
2018-10-25,San Antonio,29.3,-98.5,Bexar County
2023-05-30,Port Lavaca,28.6,-96.6,Calhoun County
2024-09-09,Oregon,42.9,-89.5,Lucas County
2021-10-19,The Colony,33.1,-96.9,Denton County
2017-08-28,Plainwell,42.4,-85.6,Allegan County
2020-11-09,Dublin,32.1,-98.4,Dublin City
2018-07-29,Inver Grove Heights,44.8,-93.0,Dakota County
2017-08-08,Grosse Pointe,42.4,-82.9,Wayne County
2020-08-18,Bixby,35.9,-95.9,Tulsa County
2023-08-15,Norman,35.2,-97.4,Cleveland County
2021-10-29,Dallas,32.9,-96.7,Dallas County
2018-09-01,Saint Paul,44.9,-93.1,Ramsey County
2018-08-10,Holland,42.8,-86.2,Ottawa County.
2021-09-11,Dallas,32.9,-96.8,Dallas County
2023-10-08,Cibolo,29.6,-98.2,Guadalupe County
2023-03-07,Driftwood,30.1,-98.0,Hays County
2020-08-24,Tulsa,36.0,-95.9,Tulsa County
2021-08-21,Oxford,42.8,-83.2,Oxfordshire
2023-12-20,Austwell,28.2,-96.8,Refugio County
2023-09-13,Whitney,31.9,-97.4,Clark County
2017-09-24,Cooperstown,42.7,-74.9,Otsego County
2022-11-04,Lampasas,31.1,-98.2,Lampasas County
2017-06-06,Oakdale,45.0,-93.0,Stanislaus County
2017-09-21,Minnetonka,44.9,-93.5,Hennepin County.
2023-09-16,Chenango,42.2,-75.9,Broome County
2021-10-30,Dobbin,30.4,-95.8,Montgomery County
2022-09-02,Edmond,35.7,-97.5,Oklahoma County
2020-11-04,Malvern,40.0,-75.5,Worcestershire
2022-04-06,Denton,33.2,-97.1,Denton County
2017-08-21,Tulsa,36.2,-96.0,Tulsa County.
2021-08-05,South Milwaukee,42.9,-87.9,Milwaukee County
2021-09-10,Grand Rapids,42.9,-85.6,Kent County
2023-05-11,Canyon Lake,29.9,-98.2,Comal County
2020-09-10,La Fayette,42.9,-76.1,Walker County
2022-03-01,Boynton Beach,26.5,-80.1,Palm Beach County
2022-10-05,Edmond,35.7,-97.5,Oklahoma County
2019-08-31,Fish Creek,45.1,-87.3,Door County
2020-07-08,Milwaukee,43.0,-87.9,Milwaukee County
2017-07-17,Minneapolis,45.0,-93.2,Hennepin County
2019-06-08,Haskell,35.8,-95.7,Haskell County
2023-11-16,Francitas,28.8,-96.3,Jackson County
2021-12-16,Porter,30.1,-95.2,Montgomery County
2023-09-02,New Ulm,44.3,-94.5,Brown County
2019-08-29,Lowville,43.8,-75.5,Lewis County
2021-11-29,Plano,33.0,-96.7,Collin County.
2021-12-02,Port Charlotte,26.9,-82.2,Charlotte County
2024-09-01,Edmond,35.7,-97.5,Oklahoma County
2018-10-20,Keller,32.9,-97.2,Tarrant County
2019-10-18,Kingsley,44.6,-85.5,Plymouth County
2021-07-15,Auburn,42.9,-76.6,Cayuga County
2021-12-21,Hobe Sound,27.1,-80.1,Martin County
2023-09-27,Ponca City,36.7,-96.9,Kay County
2018-10-03,Milwaukee,43.0,-87.9,Milwaukee County
2022-08-08,Rochester Hills,42.7,-83.2,Oakland County
2022-09-26,Oklahoma City,35.4,-97.4,Oklahoma County
2017-10-11,Rockwall,32.9,-96.5,Rockwall County
2018-08-04,Enid,36.4,-97.9,Garfield County
2021-07-23,Havertown,40.0,-75.3,Delaware County
2019-08-31,East Tawas,44.3,-83.5,Iosco County
2021-04-06,Broken Arrow,36.1,-95.7,Tulsa County
2022-08-04,Madison,43.1,-89.4,Dane County
2020-08-27,Dexter,44.0,-76.0,Washtenaw County
2023-08-18,Muskogee,35.8,-95.4,Muskogee County
2017-08-30,Moline,41.5,-90.5,Rock Island County
2020-04-17,Miami,25.6,-80.4,Miami-Dade County.
2022-09-10,Odessa,31.9,-102.3,Ector County.
2023-12-14,Tivoli,28.5,-96.8,Dutchess County
2018-09-19,White Haven,41.1,-75.8,Luzerne County
2021-08-05,Albert Lea,43.6,-93.4,Freeborn County
2023-10-29,Montgomery,30.4,-95.8,Montgomery County
2023-08-10,Monona,43.1,-89.3,Dane County
2022-11-12,Bradenton,27.4,-82.6,Manatee County
2021-09-25,Tulsa,36.1,-95.9,Tulsa County
2022-07-08,Wernersville,40.3,-76.1,Berks County
2017-09-30,Paw Paw,42.2,-85.9,Van Buren County
2019-08-15,Allenton,43.4,-88.4,St. Louis County
2019-10-08,San Angelo,31.7,-100.3,Tom Green County
2022-01-01,Rockport,28.0,-97.1,Aransas County.
2021-09-19,Itasca,42.0,-88.0,DuPage County
2021-05-26,Town of Wyoming,43.2,-90.0,Kent County
2017-08-02,Green Bay,44.5,-88.0,Brown County
2019-09-30,Bricelyn,43.6,-93.8,Faribault County
2021-09-06,Livonia,42.4,-83.4,Wayne County
2018-07-26,Tulsa,36.2,-95.9,Tulsa County
2022-04-13,Mansfield,32.6,-97.1,Richland County
2021-10-07,Tuttle,35.3,-97.8,Grady County
2018-10-12,McKinney,33.2,-96.7,Collin County
2022-12-01,West Palm Beach,26.7,-80.1,Palm Beach County
2022-03-16,St. Petersburg,27.7,-82.7,Pinellas County.
2017-10-14,Dripping Springs,30.3,-98.1,Hays County
2023-09-01,Norman,35.3,-97.5,Cleveland County
2021-10-16,Arlington,32.7,-97.1,Tarrant County.
2023-08-09,Monona,43.1,-89.3,Dane County.
2024-08-28,Madison,43.1,-89.5,Dane County
2018-10-20,Houston,30.0,-95.6,Harris County.
2017-09-29,Stroudsburg,41.0,-75.2,Monroe County
2022-09-11,Mannsville,43.7,-76.2,Johnston County
2020-11-23,Fernandina Beach,30.7,-81.5,Nassau County
2023-10-24,Jamestown,42.1,-79.2,Chautauqua County
2021-09-01,Mounds,35.9,-96.0,Creek County
2023-08-24,West Palm Beach,26.8,-80.0,Palm Beach County
2019-08-30,Chelsea,42.3,-84.0,Suffolk County.
2018-10-02,Glen Oaks,40.8,-73.8,Queens County
2020-08-14,Mankato,44.2,-94.0,Blue Earth County
2021-07-06,Erie,42.1,-80.1,Erie County
2021-08-13,Pittston,41.3,-75.8,Luzerne County
2018-11-09,Crawfordville,30.2,-84.4,Wakulla County
2021-12-15,Dickinson,29.5,-95.1,Stark County
2020-08-20,Saint Paul,44.9,-93.1,Ramsey County
2019-06-04,Altura,44.2,-91.9,Wabasha County
2017-10-14,Montgomery,30.4,-95.7,Montgomery County
2023-07-31,Galesburg,41.0,-90.4,Knox County
2019-09-16,Lower Frederick Twp,40.3,-75.5,Montgomery County
2023-07-29,Malvern,40.1,-75.5,Worcestershire
2017-09-10,Minneapolis,45.0,-93.2,Hennepin County
2019-10-13,Austin,30.2,-97.8,Travis County.
2023-09-06,Muskogee,35.8,-95.4,Muskogee County
2021-07-27,New York,40.7,-74.0,New York County
2018-08-21,Bayside,43.2,-87.9,Queens County
2021-07-18,Kalamazoo,42.3,-85.6,Kalamazoo County
2021-01-14,Taft,27.9,-97.4,Kern County
2020-10-18,Temple,31.1,-97.4,Bell County
2019-10-22,Santa Rosa Beach,30.3,-86.2,Walton County
2018-09-26,Dallas,32.8,-96.8,Dallas County
2020-09-02,Lakeville,44.7,-93.3,Dakota County.
2022-01-05,Webster,29.5,-95.1,Day County
2021-05-06,Mason,30.7,-99.3,Warren County
2022-10-23,Sugar Land,29.6,-95.6,Fort Bend County
2019-10-19,Round Rock,30.5,-97.7,Williamson County
2020-09-23,Willmar,45.1,-95.0,Kandiyohi County
2021-09-04,Antioch,42.4,-88.1,Contra Costa County
2018-10-18,San Marcos,29.8,-97.9,Hays County.
2018-10-01,New York,40.9,-73.9,New York County
2022-01-01,Dripping Springs,30.3,-98.1,Hays County
2021-12-05,Mansfield,32.6,-97.1,Richland County
2018-03-24,Driftwood,30.1,-98.0,Hays County
2017-09-08,Irving,32.9,-97.0,Dallas County.
2019-08-19,Monmouth,41.0,-90.6,Monmouthshire
2017-10-01,Alpha,41.2,-90.3,"There is not enough information to determine the county where the city ""Alpha"" is located. Alpha is a name used for multiple places across different regions."
2023-09-08,Arden Hills,45.0,-93.2,Ramsey County
2020-10-19,Fort Worth,32.7,-97.4,Tarrant County
2017-09-07,Pottsboro,33.9,-96.7,Grayson County
2017-09-24,Gause,30.7,-96.7,Milam County
2023-09-21,Jenks,36.0,-96.0,Tulsa County
2017-08-03,LaFayette,42.8,-76.0,Walker County
2021-03-24,Dallas,32.8,-96.8,Dallas County
2017-09-22,Necedah,43.9,-90.0,Juneau County
2020-09-15,Bridgman,42.0,-86.6,Berrien County
2020-11-08,Syracuse,43.1,-76.1,Onondaga County
2024-08-12,Calera,33.9,-96.4,Shelby County
2017-10-16,Chicago,41.9,-87.6,Cook
2019-10-25,Mcveytown,40.5,-77.8,Mifflin County
2022-02-11,Melbourne,28.1,-80.6,Brevard County
2021-09-29,Montgomery,30.4,-95.6,Montgomery County
2017-07-30,Peoria,40.8,-89.6,Peoria County.
2017-07-29,Oswego,43.4,-76.5,Oswego County
2021-08-23,Clare,43.8,-84.8,Webster County
2021-09-16,Riverton,39.9,-89.5,Fremont County
2021-10-07,Plano,33.1,-96.8,Collin County
2018-09-10,Seneca Falls,43.0,-76.8,Seneca
2021-02-04,Crawfordville,30.1,-84.2,Wakulla County
2018-09-25,Edwardsville,38.8,-90.0,Madison County
2021-09-23,Fairfield,39.8,-77.4,Solano County
2023-03-31,Driftwood,30.1,-98.0,Hays County
2023-04-03,Mansfield,32.6,-97.1,Richland County
2021-07-26,Clifton Park,42.9,-73.8,Saratoga County
2021-12-26,Dickinson,29.5,-95.1,Stark County
2018-10-09,Shorewood,43.1,-87.9,Milwaukee County
2023-08-26,East Stroudsburg,41.0,-75.2,Monroe County
2018-10-10,Slingerlands,42.6,-73.9,Albany County
2020-07-04,Buffalo,42.9,-78.9,Erie
2021-07-02,Tulsa,36.2,-96.0,Tulsa County
2018-10-11,Lockport,43.2,-78.8,Niagara County
2017-08-09,Lisle,41.8,-88.1,DuPage County
2020-09-22,Mcveytown,40.5,-77.8,Mifflin County
2018-10-18,Dallas,32.9,-96.7,Dallas County
2019-11-08,Mcveytown,40.5,-77.8,Mifflin County
2017-07-17,Mequon,43.2,-87.9,Ozaukee County
2017-08-14,Enid,36.4,-97.9,Garfield County
2019-09-22,Mankato,44.2,-94.0,Blue Earth County
2024-03-25,Poinciana,28.1,-81.4,Osceola County
2023-08-08,Frankenmuth,43.4,-83.8,Saginaw County
2021-02-24,Coral Springs,26.3,-80.3,Broward County.
2020-10-08,Mounds,35.9,-96.0,Pulaski County
2021-09-06,Rapid River,45.7,-87.0,Delta County
2017-10-12,Plainview,34.2,-101.5,Hale County
2021-07-13,Wilmette,42.1,-87.7,Cook County
2021-11-05,New Ringgold,40.6,-76.0,Schuylkill County
2021-08-30,Oak Lawn,41.7,-87.8,Cook County
2021-10-28,Georgetown,30.6,-97.7,Williamson County.
2021-09-29,Madison,43.1,-89.3,Dane County
2022-08-09,St Paul,44.9,-93.0,Ramsey County
2021-10-13,Houston,29.8,-95.5,Harris County
2017-09-24,Phillips,45.7,-90.4,Hamilton County
2021-06-13,Carlton,46.7,-92.4,Yamhill County
2018-09-19,Van Buren Charter Township,42.2,-83.5,Wayne County
2022-05-07,Houston,29.7,-95.4,Harris
2021-09-27,Oklahoma City,35.5,-97.6,Oklahoma County
2022-08-04,Webster,43.2,-77.5,Day County
2021-11-25,Saint Petersburg,27.8,-82.6,Pinellas County
2023-07-26,Erie,42.2,-80.0,Erie County
2024-09-02,Minneapolis,44.9,-93.3,Hennepin County
2023-09-22,College Township,40.8,-77.9,Centre County
2019-09-21,Appleton,44.3,-88.4,Outagamie County.
2017-08-31,Bartlesville,36.7,-96.3,Washington County.
2019-10-04,Montauk,41.0,-72.0,Suffolk County
2022-08-02,Perham,46.6,-95.6,Otter Tail County
2019-09-27,Buffalo,43.0,-78.8,Erie County
2018-07-19,Katy,29.7,-95.8,Harris County.
2021-06-08,La Porte,29.7,-95.1,Harris County
2019-09-02,Tulsa,36.1,-95.9,Tulsa County
